Community,Pop2010,w,total
1,63484,0.021921149606908,2896016
2,73199,0.025275758144983,
3,63551,0.021944284838205,
4,44574,0.015391489549782,
5,31895,0.011013406003282,
6,94817,0.032740495908862,
7,64320,0.022209822045182,
8,72811,0.025141780984636,
9,11259,0.003887754763786,
10,37669,0.013007179518345,
11,25859,0.008929163374788,
12,18165,0.006272410097182,
13,18514,0.006392920481102,
14,57655,0.019908384484064,
15,65340,0.022562030044033,
16,58643,0.020249542820206,
17,42164,0.014559311827007,
18,12646,0.004366688581831,
19,78144,0.02698327633549,
20,26908,0.009291385130469,
21,43083,0.014876644327932,
22,82715,0.028561651593085,
23,65836,0.022733299816023,
24,87435,0.030191476842669,
25,117527,0.040582303412688,
26,23019,0.00794850580936,
27,20881,0.007210250219612,
28,46419,0.01602857166535,
29,41768,0.014422572250982,
30,91071,0.031446994767985,
31,44031,0.015203990585687,
32,16388,0.00565880851487,
33,9509,0.003283476334385,
34,12032,0.004154673178601,
35,26470,0.009140142872139,
36,6110,0.002109794973508,
37,3420,0.001180932702029,
38,28006,0.009670526682173,
39,18363,0.006340779885194,
40,14146,0.004884641521318,
41,29920,0.010331434632958,
42,27086,0.009352848879288,
43,61556,0.021255407428688,
44,37275,0.01287113054624,
45,11147,0.003849080944304,
46,38596,0.013327274434948,
47,3294,0.001137424655112,
48,15974,0.005515853503572,
49,52723,0.018205355219032,
50,8921,0.003080438782106,
51,16990,0.005866680294584,
52,23653,0.008167427251783,
53,36649,0.012654971519494,
54,9809,0.003387066922282,
55,9781,0.003377398467412,
56,36101,0.012465746045602,
57,12644,0.004365997977912,
58,44912,0.015508201612146,
59,15962,0.005511709880056,
60,33694,0.011634604228706,
61,51721,0.017859362655455,
62,15921,0.00549755249971,
63,39193,0.013533419704864,
64,22331,0.007710938061116,
65,29235,0.010094902790592,
66,61412,0.021205683946498,
67,45282,0.015635963337219,
68,40222,0.013888735421351,
69,38619,0.01333521638002,
70,39584,0.01366843277109,
71,55928,0.019312047999735,
72,21992,0.007593880696792,
73,29843,0.010304846382064,
74,18820,0.006498582880758,
75,25226,0.008710587234325,
76,11956,0.004128430229667,
77,62198,0.021477091286789,
