Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/29/2020,282,20,130,4,29,48,54,50,50,30,17,0,128,154,0,55,11,145,38,10,23,0,1,0,1,4,4,6,4,0,3,17,0,2,2,14,2,0,0,0,5,12,25,23,27,24,14,0,57,73,0,21,3,92,11,2,1
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
03/02/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
03/03/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
03/04/2020,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,3,1,0,0
03/05/2020,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,4,0,0,0,2,4,0,0
05/09/2020,521,52,100,34,104,100,98,90,54,28,13,0,264,254,3,245,9,91,37,17,122,0,1,0,4,6,6,11,24,0,23,29,0,26,3,14,8,1,0,1,9,11,12,19,18,19,11,0,53,46,1,43,1,31,16,5,4
05/11/2020,1014,38,128,62,205,198,193,142,114,69,31,0,511,489,14,528,14,159,83,29,201,0,0,1,3,6,3,6,19,0,14,24,0,16,0,15,7,0,0,5,5,10,17,24,26,28,13,0,51,75,2,50,3,41,22,7,5
03/08/2020,3,0,9,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,0,3,6,0,2,0,5,2,0,0
10/03/2020,214,4,37,25,52,43,33,26,20,9,6,0,114,100,0,70,6,32,50,8,48,0,0,0,0,1,1,0,2,0,2,2,0,3,0,1,0,0,0,0,2,5,2,5,13,4,6,0,19,18,0,12,0,14,8,0,3
03/10/2020,11,0,8,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,4,4,0,0,0,5,1,2,0
06/19/2020,219,15,38,28,69,38,28,24,16,10,6,0,112,103,4,88,2,49,27,10,43,0,0,0,1,3,3,2,6,0,7,8,0,3,1,5,6,0,0,3,4,2,6,7,8,4,4,0,19,19,0,12,0,19,5,1,1
08/10/2020,377,2,30,41,108,69,63,49,24,18,5,0,186,190,1,184,8,58,69,13,45,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,5,1,3,5,5,6,3,0,15,15,0,4,2,8,12,1,3
09/04/2020,384,2,25,58,101,79,51,37,32,16,10,0,201,181,2,186,11,67,73,8,39,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,4,3,3,5,6,0,18,7,0,10,1,10,3,0,1
07/03/2020,175,5,29,14,52,36,26,18,16,9,4,0,107,67,1,42,1,45,32,10,45,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0,4,2,2,6,3,4,5,3,0,12,17,0,4,0,15,5,2,3
08/03/2020,425,3,32,53,127,87,67,46,24,14,7,0,215,208,2,216,10,68,70,17,44,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,2,4,10,4,7,3,0,10,21,1,10,2,13,5,2,0
11/01/2020,709,5,71,77,183,139,113,90,51,35,21,0,384,323,2,170,26,97,172,30,214,0,0,0,0,0,3,0,2,0,3,2,0,2,0,3,0,0,0,2,7,3,6,7,12,19,15,0,35,36,0,22,0,22,16,5,6
03/11/2020,12,0,9,0,3,1,3,3,2,0,0,0,3,9,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,4,5,0,2,0,5,2,0,0
10/09/2020,653,4,43,65,166,165,97,68,52,27,13,0,321,330,2,244,11,92,176,30,100,0,0,0,1,0,1,1,1,0,0,4,0,1,0,0,2,0,1,2,5,5,6,6,6,5,8,0,23,20,0,11,1,13,12,2,4
10/22/2020,1272,4,68,143,319,298,211,134,88,52,27,0,663,602,7,482,21,172,268,51,278,0,0,1,1,0,0,2,0,0,2,2,0,1,0,1,2,0,0,0,5,7,9,14,7,11,15,0,45,23,0,23,1,22,14,6,2
04/06/2020,583,22,203,5,78,97,102,110,94,56,41,0,300,276,7,137,21,233,99,27,66,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0,0,6,22,16,42,59,31,27,0,109,92,2,45,10,113,22,10,3
10/27/2020,1580,4,85,195,431,332,247,180,113,52,29,1,814,755,11,600,35,216,288,85,356,0,0,0,0,0,3,1,0,0,2,2,0,3,0,0,1,0,0,4,2,8,11,22,19,9,10,0,47,38,0,18,2,33,20,6,6
11/09/2020,3096,12,122,378,789,588,503,416,250,111,61,0,1561,1520,15,1106,60,368,565,134,863,0,0,0,0,1,3,6,2,0,4,8,0,4,0,0,7,1,0,1,5,14,12,22,26,25,17,0,67,55,0,35,3,42,25,5,12
11/20/2020,2265,18,40,323,527,418,381,270,186,101,59,0,1167,1093,5,621,37,286,381,95,845,0,0,0,1,2,5,2,8,0,4,14,0,8,0,6,4,0,0,0,2,1,9,5,11,6,6,0,22,18,0,2,3,20,6,4,5
08/01/2020,140,5,22,7,45,27,17,24,11,6,3,0,69,71,0,48,0,32,31,6,23,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,4,2,6,4,0,4,2,0,11,11,0,9,0,10,2,0,1
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
06/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,29,1,24,5,5,28,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,9,1,2,2
04/07/2020,555,24,197,2,83,106,94,84,80,54,52,0,292,256,7,164,15,198,89,27,62,0,0,0,1,5,4,9,5,0,11,13,0,6,0,16,0,2,0,0,6,14,23,34,48,33,39,0,88,105,4,41,8,102,36,10,0
09/25/2020,368,3,36,43,96,76,65,45,25,12,6,0,194,171,3,166,10,50,51,12,79,0,0,0,1,1,0,0,1,0,1,2,0,1,0,2,0,0,0,2,7,7,9,2,5,3,1,0,20,16,0,14,0,10,6,2,4
09/05/2020,198,4,23,24,58,38,33,21,17,6,1,0,92,106,0,84,3,24,42,5,40,0,0,1,0,1,0,1,1,0,1,3,0,2,0,2,0,0,0,0,1,3,4,5,5,2,3,0,15,8,0,7,0,6,8,1,1
07/27/2020,361,1,21,51,102,66,50,39,30,14,9,0,192,165,4,173,12,79,51,9,37,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1,4,1,2,7,0,8,13,0,6,3,8,3,0,1
11/25/2020,650,0,,89,150,121,92,77,62,38,21,0,332,310,8,150,20,137,118,31,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
09/23/2020,378,6,31,48,115,84,56,38,26,6,5,0,183,186,9,152,6,44,85,19,72,0,0,0,1,0,1,2,2,0,2,4,0,0,0,4,2,0,0,1,4,7,4,7,4,2,2,0,22,9,0,12,0,7,9,2,1
07/29/2020,443,3,20,56,130,94,67,50,28,12,6,0,229,207,7,180,7,97,88,19,52,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,3,1,1,0,7,13,0,8,0,8,2,2,0
04/04/2020,326,22,159,2,34,38,61,70,63,33,25,0,152,174,0,69,15,143,43,18,38,0,0,0,3,4,4,4,7,0,13,9,0,3,0,14,4,1,0,0,3,11,22,33,45,24,21,0,77,81,1,39,10,78,21,8,3
06/04/2020,319,15,35,27,92,63,54,40,25,10,8,0,160,156,3,144,5,64,24,9,73,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,0,7,1,6,6,10,3,2,0,20,15,0,12,1,12,7,1,2
10/21/2020,1150,6,59,112,368,244,169,126,83,32,16,0,593,555,2,384,24,163,243,64,272,0,0,0,0,0,0,0,6,0,4,2,0,2,0,1,2,1,0,2,5,10,8,7,15,7,5,0,29,30,0,21,0,22,11,1,4
10/15/2020,853,2,48,80,256,196,111,101,67,28,14,0,434,418,1,337,17,101,189,30,179,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,2,8,5,8,8,8,8,0,28,20,0,9,1,19,13,2,4
08/28/2020,377,4,26,65,106,60,49,48,29,15,5,0,180,197,0,166,7,66,71,16,51,0,0,1,0,1,0,2,0,0,4,0,0,2,0,2,0,0,0,1,3,1,8,2,3,4,4,0,14,12,0,9,0,12,3,2,0
06/03/2020,279,21,54,23,61,47,40,44,32,18,14,0,152,126,1,109,3,66,27,18,56,0,2,0,0,0,1,9,9,0,10,11,0,9,0,8,4,0,0,1,7,5,3,4,17,9,8,0,24,30,0,13,0,29,9,0,3
05/07/2020,939,49,144,58,180,194,171,147,116,40,33,0,480,447,12,437,10,124,90,46,232,0,0,2,2,8,14,10,13,0,20,29,0,16,3,19,9,1,1,3,4,18,20,20,36,25,18,0,58,86,0,65,3,41,22,8,5
09/28/2020,415,2,33,55,100,77,68,51,39,14,11,0,214,199,2,181,2,48,76,11,97,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,5,2,3,4,6,6,7,0,16,17,0,7,1,13,7,2,3
06/08/2020,274,15,40,21,63,48,49,41,24,15,13,0,136,132,6,136,3,45,29,10,51,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0,1,7,2,7,8,5,4,6,0,21,19,0,13,2,14,8,3,0
05/28/2020,521,22,68,41,111,89,98,69,62,27,24,0,258,255,8,212,7,115,58,13,116,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,7,14,0,33,35,0,29,2,23,10,1,3
09/24/2020,398,5,26,50,114,85,62,44,28,9,6,0,196,200,2,173,6,38,102,9,70,0,0,0,1,1,1,1,1,0,2,3,0,4,0,1,0,0,0,0,0,2,4,5,6,6,3,0,12,14,0,6,0,7,7,3,3
11/04/2020,2444,8,94,302,675,542,358,285,169,86,27,0,1246,1178,20,864,58,321,477,109,615,0,0,0,0,0,1,2,5,0,5,3,0,5,0,1,2,0,0,4,4,4,11,21,17,24,9,0,48,46,0,26,2,34,24,5,3
05/15/2020,972,48,110,80,186,201,167,136,102,64,36,0,539,424,9,448,11,157,84,36,236,0,0,2,1,7,14,12,12,0,15,33,0,18,0,12,16,2,0,0,14,10,17,13,18,19,19,0,61,49,0,37,2,45,20,1,5
10/08/2020,585,3,32,79,172,110,64,79,55,18,8,0,297,286,2,225,13,83,140,22,102,0,0,0,2,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,4,1,2,5,9,3,8,0,16,16,0,3,0,17,5,3,4
05/01/2020,1168,39,140,58,223,221,204,193,133,68,68,0,615,522,31,535,26,192,108,47,260,0,1,0,1,4,12,8,13,0,14,25,0,12,1,15,10,0,1,0,14,13,16,22,24,31,20,0,75,65,0,48,3,60,22,4,3
10/26/2020,1539,8,82,195,396,302,258,181,121,65,21,0,775,757,7,511,46,249,299,66,368,0,0,0,0,0,0,2,6,0,4,4,0,4,0,0,4,0,0,0,5,9,6,18,15,16,13,0,36,46,0,22,3,25,22,2,8
11/27/2020,4,0,,0,0,1,0,2,1,0,0,0,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
03/22/2020,168,2,73,6,23,27,31,37,24,14,6,0,75,93,0,22,6,81,50,6,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,6,8,13,14,13,14,5,0,37,35,1,12,4,47,6,3,1
07/25/2020,157,8,22,29,35,33,25,16,7,9,3,0,79,78,0,58,7,33,31,9,19,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,5,2,6,3,3,0,12,10,0,3,0,11,5,1,2
06/13/2020,121,18,25,13,26,19,14,22,14,7,6,0,66,55,0,46,0,22,17,8,28,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,1,3,1,7,2,5,1,5,0,15,10,0,10,0,9,5,1,0
10/19/2020,1154,4,56,150,269,247,160,167,97,43,21,0,590,561,3,412,25,188,236,50,243,0,0,0,0,0,3,1,0,0,1,3,0,1,0,2,1,0,0,2,2,2,8,15,9,11,7,0,29,27,0,12,1,18,20,2,3
07/21/2020,287,1,35,25,83,57,55,28,22,8,9,0,141,146,0,91,3,88,52,17,36,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,6,6,1,7,4,5,0,17,18,0,7,1,16,8,1,2
10/02/2020,397,3,29,44,99,93,56,41,24,30,10,0,198,198,1,163,10,42,97,22,63,0,0,0,0,1,0,2,0,0,1,2,0,1,0,1,1,0,0,0,4,4,3,4,5,4,5,0,17,11,1,7,2,8,10,1,1
11/23/2020,2032,10,,247,483,418,297,295,172,80,40,0,1053,970,9,690,40,285,297,78,642,0,0,1,0,2,1,3,3,0,6,4,0,3,0,3,2,0,2,,,,,,,,,,,,,,,,,,
10/31/2020,1025,10,80,130,257,210,168,127,83,39,10,1,518,505,2,299,29,135,197,57,308,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,6,5,12,13,21,14,6,1,41,39,0,18,3,34,15,3,7
11/15/2020,799,10,91,79,180,157,138,108,82,31,23,1,418,381,0,199,19,104,201,41,235,0,0,0,0,0,5,2,3,0,7,3,0,4,1,4,1,0,0,4,6,6,13,13,16,19,14,0,47,44,0,26,2,33,15,4,11
05/04/2020,1120,48,126,57,218,223,243,177,109,53,40,0,556,544,20,518,24,175,99,45,259,0,1,0,0,4,10,15,18,0,23,25,0,17,2,20,9,0,0,1,10,8,13,15,27,31,21,0,53,72,1,40,7,48,17,9,5
06/16/2020,213,11,24,18,60,37,32,32,21,3,10,0,118,93,2,75,5,52,21,5,55,0,1,0,2,3,1,2,2,0,5,6,0,9,0,1,1,0,0,1,4,2,3,3,5,2,4,0,16,8,0,7,1,12,3,0,1
04/23/2020,1466,36,164,32,194,205,223,240,244,161,167,0,733,644,89,474,20,366,179,69,358,0,1,1,4,3,9,8,10,0,9,27,0,13,2,14,7,0,0,1,6,13,22,26,39,30,27,0,75,87,2,60,6,57,28,11,2
05/18/2020,945,33,111,67,236,152,189,149,83,46,23,0,495,439,11,429,10,149,71,38,248,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,14,11,15,20,13,20,17,0,51,60,0,40,0,45,14,5,7
07/12/2020,96,4,17,7,32,15,19,11,3,7,2,0,52,44,0,27,4,25,19,3,18,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,3,0,2,2,2,6,1,0,7,10,0,5,2,8,1,0,1
03/31/2020,488,16,163,5,57,103,96,92,69,39,27,0,258,225,5,107,16,217,82,17,49,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0,2,7,16,25,33,31,28,21,0,71,88,4,30,3,100,17,9,4
09/21/2020,411,2,25,51,122,81,55,44,33,18,7,0,210,198,3,210,5,43,79,15,59,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,3,4,3,4,6,2,3,0,14,11,0,13,0,9,2,0,1
08/02/2020,95,3,21,11,20,29,10,6,12,6,1,0,44,50,1,26,2,28,23,6,10,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,3,9,2,3,2,1,1,0,10,11,0,6,0,8,4,2,1
10/17/2020,531,5,50,66,135,113,94,55,43,15,10,0,262,267,2,210,14,71,115,22,99,0,0,0,1,0,1,0,3,0,2,3,0,3,0,2,0,0,0,2,7,4,5,5,9,9,9,0,35,14,1,14,2,18,8,1,7
11/14/2020,1357,16,88,161,301,275,233,169,126,71,21,0,690,666,1,325,36,172,310,78,436,0,0,0,1,1,5,7,2,0,6,10,0,6,1,5,3,0,1,1,4,2,15,18,15,22,11,0,38,50,0,19,2,28,20,6,13
08/15/2020,221,5,23,18,65,41,29,34,21,11,2,0,105,114,2,76,7,51,59,6,22,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,6,3,5,2,0,12,11,0,7,0,10,5,1,0
07/11/2020,155,2,20,9,69,22,22,13,12,8,0,0,79,76,0,34,3,43,35,13,27,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,8,1,2,1,3,4,1,0,8,12,0,4,1,13,2,0,0
05/24/2020,280,27,91,16,56,42,48,33,47,22,16,0,150,130,0,118,2,49,17,12,82,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0,0,7,6,5,18,31,13,11,0,45,46,0,31,2,34,10,6,8
06/26/2020,218,13,31,18,61,49,29,25,17,11,8,0,121,96,1,69,4,42,39,5,59,0,0,1,2,0,0,4,6,0,6,7,0,1,0,5,7,0,0,2,0,3,2,5,9,5,5,0,11,19,1,5,2,16,4,2,2
10/04/2020,144,5,23,19,29,25,20,24,13,11,3,0,57,87,0,37,6,25,41,5,30,0,0,0,0,0,0,1,4,0,3,2,0,1,0,1,3,0,0,0,2,3,2,3,6,6,1,0,11,12,0,2,0,13,5,1,2
11/16/2020,2498,21,105,313,588,474,444,337,198,88,56,0,1297,1189,12,797,56,339,434,126,746,0,0,1,1,4,4,6,5,0,8,13,0,13,2,4,2,0,0,0,10,5,8,19,21,24,18,0,52,53,0,28,7,43,19,5,3
03/30/2020,439,12,160,6,54,78,81,82,59,43,36,0,217,222,0,85,12,210,78,17,37,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,0,9,9,17,33,35,33,24,0,69,91,0,27,2,101,20,9,1
11/17/2020,2378,13,97,265,562,478,374,334,218,99,47,1,1226,1142,10,740,58,308,353,97,822,0,0,0,0,2,6,2,3,0,4,9,0,7,0,2,4,0,0,3,6,10,9,13,23,22,11,0,48,49,0,22,2,40,17,6,10
04/12/2020,341,33,138,28,32,56,54,60,46,34,31,0,142,182,17,91,7,116,56,21,50,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,3,7,16,31,30,30,21,0,56,81,1,33,4,69,25,7,0
04/28/2020,1323,56,179,68,246,232,253,248,156,68,52,0,619,674,30,574,16,242,108,83,300,0,0,0,3,5,9,10,29,0,23,33,0,13,5,26,12,0,0,2,10,18,22,42,28,30,27,0,73,106,0,64,6,64,30,15,0
04/19/2020,459,35,160,7,66,61,66,75,74,50,60,0,209,248,2,141,21,171,56,22,48,0,0,0,3,7,8,5,12,0,11,24,0,13,3,13,4,2,0,2,13,8,16,36,29,30,26,0,71,88,1,57,7,61,23,9,3
09/26/2020,229,4,22,26,65,48,32,39,11,7,1,0,103,126,0,86,6,13,68,14,42,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,3,6,1,5,1,5,1,0,16,6,0,5,1,6,8,1,1
11/03/2020,2073,13,95,256,531,433,346,258,145,65,39,0,1047,1017,9,688,55,223,400,100,607,0,0,0,0,2,5,4,2,0,2,11,0,4,0,4,5,0,0,3,9,10,11,17,21,11,13,0,46,48,1,27,2,34,18,1,13
09/01/2020,330,3,20,33,97,70,39,45,32,8,6,0,178,152,0,129,4,55,78,7,57,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,2,3,7,2,2,2,2,0,11,9,0,7,0,9,2,1,1
11/07/2020,1516,12,99,175,377,324,262,182,104,53,39,0,795,721,0,523,30,173,310,72,408,0,0,1,1,1,1,3,5,0,8,4,0,1,0,4,7,0,0,0,8,6,12,21,22,10,20,0,55,44,0,31,4,31,20,6,7
06/05/2020,339,17,42,33,76,70,51,51,30,18,10,0,172,166,1,178,4,51,28,12,66,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,5,10,3,0,20,22,0,17,0,14,5,2,4
03/07/2020,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0
05/12/2020,942,46,127,64,178,177,182,162,91,50,38,0,493,444,5,441,10,170,101,22,198,0,0,4,2,4,10,7,19,0,12,34,0,21,2,19,4,0,0,1,11,15,11,28,25,17,19,0,63,63,1,50,2,49,18,2,6
10/10/2020,421,5,37,39,106,104,65,58,31,8,10,0,219,201,1,137,9,48,107,19,101,0,0,0,0,1,2,1,1,0,3,2,0,0,1,2,2,0,0,0,4,3,4,6,3,9,8,0,17,20,0,7,0,12,12,3,3
